N,P,K,temperature,humidity,ph,rainfall,label
102.83,16.54,56.26,26.19,89.13,6.48,7.59,muskmelon
94.9,18.22,42.18,25.33,83.94,6.24,45.35,watermelon
64.43,61.01,56.31,34.39,93.23,6.77,156.68,papaya
57.36,58.54,34.12,33.36,90.38,6.48,124.56,papaya
24.91,160.15,188.61,26.3,92.07,5.3,110.6,apple
26.15,23.76,28.55,33.12,49.45,5.36,146.03,mango
32.06,143.32,197.2,31.6,88.34,6.27,82.35,apple
23.35,52.68,23.26,28.16,48.31,6.56,62.54,mothbeans
23.31,52.54,12.72,30.29,82.33,6.83,44.59,mungbean
19.21,67.31,9.71,25.36,68.97,6.19,59.61,lentil
49.41,52.9,24.94,29.38,70.39,6.57,68.07,blackgram
16.49,25.05,26.93,30.44,93.26,6.43,152.95,coconut
22.18,15.83,38.26,17.61,86.76,6.88,110.82,pomegranate
60.56,57.4,42.79,24.33,77.39,7.29,192.75,jute
25.48,16.34,35.47,26.25,88.22,5.99,178.79,coconut
17.17,17.96,27.82,22.38,87.74,6.63,123.78,pomegranate
21.42,116.53,194.47,20.47,93.97,6.59,74.11,apple
83.62,38.47,37.34,23.55,64.73,7.07,87.94,maize
39.81,68.51,49.61,31.13,96.5,6.08,129.12,papaya
96.42,20.18,46.3,27.14,86.35,6.69,23.39,muskmelon
120.81,18.29,25.25,26.5,57.73,7.13,155.95,coffee
47.31,37.76,42.04,32.75,93.46,5.98,141.66,papaya
23.95,12.82,14.34,25.17,97.03,7.15,100.27,orange
50.3,55.3,70.04,33.31,89.61,6.15,175.64,papaya
58.14,59.75,80.56,14.47,13.89,7.05,58.86,chickpea
69.02,46.19,48.33,25.62,78.15,6.02,106.89,jute
20.4,56.66,25.05,29.95,94.6,6.55,72.34,mungbean
23.97,17.32,15.34,22.49,90.44,6.95,90.43,orange
16.43,75.41,12.42,24.5,53.26,6.67,163.8,pigeonpeas
86.44,23.6,39.61,21.31,75.91,6.06,186.64,rice
25.85,14.41,38.33,17.76,94.95,7.05,64.95,pomegranate
19.94,50.87,26.91,26.35,57.31,6.95,32.16,mothbeans
88.54,60.25,42.26,23.81,79.19,6.53,164.19,jute
22.79,70.19,17.51,23.91,70.36,6.63,44.49,lentil
79.79,57.74,39.58,22.57,81.96,6.63,170.5,jute
39.48,80.36,27.57,31.97,68.02,6.7,78.78,blackgram
78.52,32.1,42.29,27.41,80.78,6.34,145.27,jute
30.46,63.34,71.86,20.6,19.93,6.61,71.93,chickpea
31.03,79.7,86.47,18.29,7.25,6.91,93.76,chickpea
33.52,70.15,16.4,18.61,18.23,6.17,97.71,kidneybeans
40.34,65.24,52.19,30.6,91.1,7.07,111.52,papaya
23.37,23.61,33.26,30.56,51.43,5.49,112.29,mango
38.58,66.79,24.36,31.52,73.98,6.33,71.8,blackgram
70.86,46.34,46.3,22.83,55.76,6.63,79.99,maize
22.91,52.59,14.3,26.81,94.07,6.74,38.65,mungbean
104.04,52.42,44.53,21.12,62.24,5.14,106.44,maize
15.69,73.47,17.2,24.19,55.13,5.79,136.73,pigeonpeas
18.43,21.67,39.57,27.23,92.93,5.56,175.05,coconut
97.98,16.53,49.64,30.34,82.61,6.51,24.21,muskmelon
84.76,45.54,31.28,21.9,64.44,7.1,122.36,maize
51.3,74.5,19.36,27.66,62.4,7.01,71.79,blackgram
101.06,24.86,27.22,22.86,55.63,7.24,166.34,coffee
29.5,130.9,187.06,28.22,74.37,5.43,80.17,grapes
26.23,50.3,21.84,25.46,95.18,6.22,70.93,mungbean
99.97,36.86,31.87,25.76,72.43,7.46,209.36,coffee
23.81,64.76,29.08,18.24,22.87,5.79,102.99,kidneybeans
117.83,56.98,45.03,23.81,86.9,7.4,102.64,cotton
30.2,130.72,200.26,24.29,85.13,5.83,114.28,apple
110.63,71.9,44.58,27.76,85.85,6.67,105.83,banana
50.83,70.14,24.05,30.77,66.29,6.99,73.51,blackgram
93.96,15.36,49.77,25.42,80.4,6.41,41.75,watermelon
20.43,19.0,27.15,27.16,95.61,5.96,182.62,coconut
21.36,71.22,22.99,24.05,84.08,6.96,48.34,lentil
27.24,18.58,14.5,26.71,89.07,6.68,123.38,orange
47.24,63.34,48.73,34.43,85.61,7.34,115.19,papaya
19.69,68.01,18.3,25.22,40.19,6.25,125.5,pigeonpeas
20.6,16.82,3.23,23.78,92.64,7.36,122.12,orange
72.86,29.47,46.69,23.7,93.91,6.71,215.51,rice
87.4,10.46,51.84,30.77,92.32,6.83,35.13,muskmelon
9.36,58.86,22.66,27.23,50.11,6.78,110.93,pigeonpeas
108.95,17.91,38.48,26.66,85.99,5.82,26.18,muskmelon
10.16,14.46,35.84,26.66,90.68,5.54,84.16,coconut
78.58,49.22,44.16,25.98,76.11,6.43,166.34,jute
84.2,79.0,48.59,24.09,76.97,5.84,97.13,banana
39.99,67.88,13.78,30.21,69.07,7.23,76.55,blackgram
46.8,59.66,62.2,33.28,92.17,6.74,137.55,papaya
114.9,77.86,53.37,28.19,88.59,5.87,91.94,banana
